Period Ending,Ticker Symbol,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio
2015-12-31,CTXS,16.0,81.0,11.0,10.0,52.0
2016-12-31,CTXS,21.0,84.0,19.0,16.0,54.0
2013-12-31,CVS,12.0,19.0,6.0,4.0,27.0
2014-12-31,CVS,12.0,18.0,6.0,3.0,13.0
2015-12-31,CVS,14.0,17.0,6.0,3.0,11.0
2016-12-31,CVS,14.0,16.0,6.0,3.0,13.0
2012-12-31,CVX,19.0,29.0,15.0,11.0,62.0
2013-12-31,CVX,14.0,28.0,12.0,10.0,50.0
2014-12-31,CVX,12.0,28.0,10.0,10.0,41.0
2015-12-31,CVX,3.0,29.0,3.0,4.0,43.0
2012-12-31,CXO,12.0,81.0,47.0,24.0,0.0
2013-12-31,CXO,7.0,80.0,27.0,11.0,0.0
2014-12-31,CXO,10.0,80.0,41.0,20.0,0.0
2015-12-31,CXO,1.0,70.0,21.0,4.0,38.0
2012-12-31,D,3.0,35.0,22.0,2.0,6.0
2013-12-31,D,15.0,39.0,25.0,13.0,13.0
2014-12-31,D,11.0,37.0,22.0,11.0,8.0
2015-12-31,D,15.0,47.0,30.0,16.0,8.0
2013-12-31,DAL,91.0,45.0,9.0,28.0,31.0
2014-12-31,DAL,7.0,43.0,5.0,2.0,26.0
2015-12-31,DAL,42.0,58.0,19.0,11.0,31.0
2016-12-31,DAL,36.0,60.0,18.0,11.0,24.0
2013-12-31,DD,30.0,39.0,10.0,17.0,68.0
2014-12-31,DD,27.0,40.0,14.0,13.0,51.0
2015-12-31,DD,20.0,40.0,12.0,8.0,60.0
2016-12-31,DD,25.0,41.0,14.0,10.0,67.0
2013-10-31,DE,34.0,32.0,16.0,9.0,23.0
2014-10-31,DE,35.0,31.0,15.0,9.0,23.0
2015-10-31,DE,29.0,30.0,12.0,7.0,22.0
2016-10-31,DE,23.0,32.0,11.0,6.0,25.0
2012-11-30,DFS,24.0,0.0,0.0,26.0,74.4574898785425
2013-12-31,DFS,23.0,0.0,0.0,26.0,74.4574898785425
2014-12-31,DFS,21.0,0.0,0.0,24.0,74.4574898785425
2015-12-31,DFS,20.0,0.0,0.0,23.0,74.4574898785425
